,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
308,9,1992,0,1966,이강철,92해_#DB0000,, 12 , 2 , 30 , 18 , 9 , 0 , 0 , 217.1 , 88 ,, 899 , 179 , 29 , 71 , 4 , 16 , 155 , 1 , 0 , 3.44 , 4.23 , 1.15 , 125.7 , 102.1 , 4.73 ,,,
309,10,1992,0,1967,이태일,삼성,, 5 , 2 , 22 , 13 , 7 , 1 , 0 , 154.0 , 60 ,, 625 , 140 , 7 , 43 , 0 , 4 , 52 , 0 , 1 , 2.86 , 3.61 , 1.19 , 153.2 , 121.5 , 4.38 ,,,
310,11,1992,0,1965,김기범,LG,, 6 , 1 , 19 , 8 , 6 , 3 , 0 , 145.0 , 57 ,, 603 , 130 , 6 , 50 , 4 , 3 , 92 , 0 , 3 , 2.98 , 3.06 , 1.24 , 140.0 , 136.2 , 4.32 ,,,
311,12,1992,0,1964,김태원,LG,, 8 , 3 , 27 , 10 , 14 , 1 , 0 , 177.1 , 81 ,, 759 , 180 , 10 , 64 , 3 , 7 , 119 , 0 , 1 , 3.40 , 3.32 , 1.38 , 122.6 , 125.6 , 4.22 ,,,
312,13,1992,0,1964,장정순,한화,, 3 , 1 , 23 , 14 , 7 , 2 , 0 , 155.1 , 64 ,, 666 , 159 , 12 , 48 , 1 , 5 , 77 , 0 , 3 , 3.07 , 3.80 , 1.33 , 141.0 , 114.0 , 3.92 ,,,
313,14,1992,0,1962,김정수,92해_#DB0000,, 5 , 3 , 29 , 14 , 8 , 1 , 0 , 165.1 , 68 ,, 719 , 144 , 11 , 78 , 0 , 20 , 126 , 0 , 4 , 3.16 , 3.90 , 1.34 , 136.9 , 110.8 , 3.90 ,,,
314,15,1992,0,1956,박철순,92O_#000042,, 1 , 1 , 6 , 7 , 6 , 9 , 0 , 99.2 , 35 ,, 411 , 92 , 5 , 34 , 3 , 1 , 68 , 0 , 6 , 2.80 , 3.03 , 1.26 , 148.4 , 137.0 , 3.81 ,,,
315,16,1992,0,1961,정삼흠,LG,, 4 , 1 , 18 , 14 , 11 , 5 , 0 , 180.1 , 89 ,, 776 , 172 , 17 , 68 , 5 , 11 , 128 , 0 , 3 , 4.04 , 3.82 , 1.33 , 103.2 , 109.3 , 3.71 ,,,
316,17,1992,0,1970,김상엽,삼성,, 5 , 1 , 13 , 8 , 12 , 15 , 0 , 144.0 , 71 ,, 602 , 125 , 9 , 71 , 3 , 4 , 103 , 0 , 13 , 4.19 , 3.66 , 1.36 , 104.7 , 119.8 , 3.71 ,,,
317,18,1992,0,1969,박정현,92태_#005000,, 8 , 0 , 20 , 13 , 7 , 6 , 0 , 165.2 , 75 ,, 705 , 154 , 12 , 72 , 2 , 12 , 85 , 1 , 3 , 3.69 , 4.18 , 1.36 , 116.9 , 103.3 , 3.54 ,,,
318,19,1992,0,1972,김원형,92쌍_#353535,, 7 , 1 , 18 , 8 , 7 , 1 , 0 , 138.1 , 60 ,, 578 , 125 , 13 , 54 , 1 , 6 , 104 , 1 , 5 , 3.32 , 3.78 , 1.29 , 131.7 , 115.7 , 3.32 ,,,
319,20,1992,0,1968,오봉옥,삼성,, 2 , 1 , 3 , 13 , 0 , 2 , 0 , 126.2 , 58 ,, 556 , 114 , 7 , 74 , 2 , 4 , 64 , 0 , 7 , 3.55 , 4.29 , 1.48 , 123.5 , 102.3 , 3.23 ,,,
320,21,1992,0,1970,김상진,92O_#000042,, 9 , 1 , 28 , 11 , 13 , 1 , 0 , 168.2 , 79 ,, 716 , 131 , 11 , 89 , 2 , 6 , 96 , 0 , 10 , 3.63 , 4.14 , 1.30 , 114.5 , 100.2 , 2.92 ,,,
321,22,1992,0,1963,선동열,92해_#DB0000,, 1 , 1 , 2 , 2 , 0 , 8 , 0 , 32.2 , 1 ,, 119 , 20 , 0 , 10 , 0 , 2 , 42 , 0 , 1 , 0.28 , 1.31 , 0.92 , 1568.5 , 329.8 , 2.75 ,,,
322,23,1992,0,1973,안병원,92태_#005000,, 6 , 1 , 13 , 10 , 8 , 2 , 0 , 126.2 , 68 ,, 545 , 124 , 12 , 52 , 4 , 8 , 88 , 0 , 3 , 4.26 , 3.95 , 1.39 , 101.3 , 109.3 , 2.37 ,,,
323,24,1992,0,1969,박성기,92쌍_#353535,, 3 , 1 , 21 , 9 , 8 , 1 , 0 , 152.1 , 81 ,, 663 , 141 , 17 , 76 , 3 , 5 , 88 , 0 , 8 , 4.08 , 4.61 , 1.43 , 107.2 , 94.7 , 2.24 ,,,
324,25,1992,0,1968,박동희,롯데,, 6 , 0 , 14 , 7 , 4 , 1 , 0 , 98.0 , 46 ,, 426 , 98 , 6 , 52 , 2 , 2 , 67 , 0 , 4 , 4.13 , 3.80 , 1.53 , 106.5 , 115.9 , 2.19 ,,,
325,26,1992,0,1966,신동수,92해_#DB0000,, 0 , 0 , 23 , 13 , 9 , 0 , 0 , 137.1 , 72 ,, 597 , 157 , 17 , 40 , 1 , 4 , 65 , 0 , 5 , 4.46 , 4.38 , 1.43 , 97.0 , 98.6 , 2.15 ,,,
326,27,1992,0,1969,차명석,LG,, 1 , 0 , 4 , 0 , 5 , 2 , 0 , 85.0 , 40 ,, 363 , 77 , 5 , 31 , 3 , 6 , 52 , 1 , 5 , 3.92 , 3.52 , 1.27 , 106.4 , 118.4 , 2.03 ,,,
327,28,1992,0,1962,이상군,한화,, 0 , 0 , 7 , 10 , 2 , 2 , 0 , 96.2 , 46 ,, 413 , 89 , 12 , 32 , 4 , 8 , 55 , 0 , 4 , 3.82 , 4.37 , 1.25 , 113.4 , 99.0 , 2.02 ,,,
328,29,1992,0,1967,조규제,92쌍_#353535,, 0 , 0 , 0 , 7 , 7 , 8 , 0 , 54.0 , 25 ,, 233 , 48 , 5 , 24 , 1 , 2 , 65 , 0 , 3 , 3.17 , 2.97 , 1.33 , 138.0 , 147.4 , 2.00 ,,,
329,30,1992,0,1962,성준,삼성,, 6 , 1 , 21 , 8 , 6 , 0 , 0 , 124.0 , 57 ,, 541 , 120 , 15 , 57 , 0 , 4 , 65 , 0 , 2 , 3.99 , 4.78 , 1.43 , 109.9 , 91.8 , 1.99 ,,,
330,1,1993,0,1963,선동열,93해_#DB0000,, 0 , 0 , 1 , 10 , 3 , 31 , 0 , 126.1 , 11 ,, 433 , 48 , 2 , 20 , 0 , 6 , 164 , 0 , 0 , 0.78 , 0.69 , 0.54 , 423.6 , 479.9 , 10.27 ,,,
331,2,1993,0,1971,김경원,93O_#000042,, 0 , 0 , 1 , 9 , 3 , 23 , 0 , 129.1 , 17 ,, 500 , 77 , 3 , 50 , 5 , 7 , 126 , 1 , 2 , 1.11 , 2.02 , 0.98 , 281.4 , 154.8 , 6.98 ,,,
332,3,1993,0,1964,조계현,93해_#DB0000,, 10 , 4 , 27 , 17 , 6 , 1 , 0 , 196.1 , 54 ,, 760 , 141 , 8 , 51 , 4 , 7 , 118 , 0 , 2 , 2.15 , 2.62 , 0.98 , 154.1 , 126.8 , 5.95 ,,,
333,4,1993,0,1961,윤학길,롯데,, 12 , 4 , 27 , 12 , 12 , 0 , 0 , 203.0 , 68 ,, 836 , 212 , 8 , 42 , 3 , 5 , 92 , 0 , 6 , 3.01 , 2.72 , 1.25 , 111.4 , 123.4 , 5.28 ,,,
334,5,1993,0,1970,김상엽,삼성,, 6 , 3 , 18 , 13 , 6 , 8 , 0 , 181.1 , 64 ,, 750 , 150 , 8 , 76 , 2 , 6 , 170 , 0 , 6 , 2.58 , 2.49 , 1.25 , 129.0 , 133.9 , 5.05 ,,,
335,6,1993,0,1972,정민철,한화,, 10 , 1 , 17 , 13 , 3 , 1 , 0 , 148.1 , 40 ,, 596 , 117 , 10 , 40 , 0 , 6 , 110 , 0 , 3 , 2.24 , 2.79 , 1.06 , 148.0 , 119.2 , 4.40 ,,,
336,7,1993,0,1965,한용덕,한화,, 12 , 3 , 20 , 10 , 11 , 5 , 0 , 172.1 , 61 ,, 687 , 143 , 13 , 26 , 1 , 10 , 112 , 0 , 3 , 2.98 , 2.76 , 0.98 , 111.6 , 120.6 , 4.32 ,,,
337,8,1993,0,1967,조규제,93쌍_#353535,, 0 , 0 , 0 , 1 , 4 , 23 , 0 , 88.2 , 17 ,, 348 , 51 , 5 , 33 , 2 , 4 , 96 , 0 , 0 , 1.42 , 2.22 , 0.95 , 230.3 , 147.7 , 4.11 ,,,
338,9,1993,0,1970,김상진,93O_#000042,, 7 , 2 , 28 , 11 , 11 , 0 , 0 , 187.1 , 75 ,, 768 , 156 , 6 , 56 , 0 , 7 , 142 , 0 , 5 , 3.07 , 2.37 , 1.13 , 101.9 , 132.0 , 4.04 ,,,
339,10,1993,0,1969,윤형배,롯데,, 11 , 4 , 24 , 14 , 9 , 3 , 0 , 193.2 , 67 ,, 792 , 170 , 7 , 69 , 1 , 3 , 60 , 0 , 2 , 2.46 , 3.42 , 1.23 , 136.4 , 98.4 , 3.94 ,,,
340,11,1993,0,1956,박철순,93O_#000042,, 0 , 0 , 13 , 7 , 5 , 2 , 0 , 116.2 , 30 ,, 469 , 99 , 3 , 39 , 2 , 0 , 90 , 0 , 4 , 2.08 , 2.21 , 1.18 , 150.4 , 141.9 , 3.92 ,,,
341,12,1993,0,1970,박충식,삼성,, 7 , 2 , 20 , 14 , 7 , 2 , 0 , 155.2 , 51 ,, 619 , 122 , 10 , 40 , 3 , 11 , 97 , 3 , 3 , 2.54 , 2.98 , 1.04 , 130.9 , 111.8 , 3.77 ,,,
342,13,1993,0,1968,김상현,롯데,, 8 , 0 , 19 , 12 , 9 , 4 , 0 , 163.1 , 60 ,, 667 , 152 , 8 , 47 , 1 , 2 , 77 , 0 , 3 , 3.20 , 3.04 , 1.22 , 105.1 , 110.5 , 3.68 ,,,
343,14,1993,0,1973,염종석,롯데,, 7 , 2 , 22 , 10 , 10 , 7 , 0 , 158.1 , 68 ,, 656 , 171 , 6 , 31 , 2 , 5 , 89 , 0 , 1 , 3.41 , 2.48 , 1.28 , 98.5 , 135.6 , 3.61 ,,,
344,15,1993,0,1960,장호연,93O_#000042,, 9 , 3 , 25 , 10 , 9 , 0 , 0 , 161.2 , 51 ,, 652 , 134 , 4 , 41 , 1 , 5 , 51 , 0 , 2 , 2.56 , 2.99 , 1.08 , 122.3 , 104.8 , 3.54 ,,,
345,16,1993,0,1960,김용수,LG,, 0 , 0 , 0 , 6 , 2 , 26 , 0 , 75.2 , 16 ,, 293 , 53 , 3 , 20 , 6 , 2 , 60 , 0 , 2 , 1.55 , 2.03 , 0.97 , 204.3 , 155.7 , 3.50 ,,,
346,17,1993,0,1969,김태한,삼성,, 5 , 3 , 23 , 14 , 6 , 2 , 0 , 162.0 , 55 ,, 661 , 133 , 7 , 71 , 0 , 4 , 91 , 1 , 1 , 2.83 , 3.29 , 1.26 , 117.5 , 101.1 , 3.43 ,,,
347,18,1993,0,1962,성준,삼성,, 6 , 2 , 21 , 12 , 4 , 0 , 0 , 139.0 , 34 ,, 562 , 115 , 8 , 51 , 3 , 3 , 51 , 0 , 1 , 2.07 , 3.58 , 1.19 , 160.7 , 93.0 , 3.40 ,,,
348,19,1993,0,1964,김태원,LG,, 4 , 1 , 21 , 8 , 8 , 0 , 0 , 141.1 , 43 ,, 567 , 100 , 6 , 44 , 3 , 11 , 84 , 0 , 2 , 2.42 , 2.93 , 1.02 , 130.5 , 107.7 , 3.33 ,,,
349,20,1993,0,1966,이강철,93해_#DB0000,, 2 , 1 , 26 , 10 , 10 , 1 , 0 , 154.0 , 60 ,, 638 , 113 , 9 , 65 , 2 , 13 , 131 , 0 , 3 , 3.04 , 3.00 , 1.16 , 109.2 , 110.5 , 3.09 ,,,
350,21,1993,0,1973,안병원,93태_#005000,, 9 , 1 , 21 , 4 , 10 , 0 , 0 , 170.0 , 70 ,, 709 , 164 , 8 , 60 , 4 , 4 , 100 , 0 , 3 , 3.02 , 2.96 , 1.32 , 107.9 , 110.1 , 3.06 ,,,
351,22,1993,0,1965,김기범,LG,, 2 , 1 , 25 , 9 , 9 , 0 , 0 , 156.0 , 51 ,, 639 , 133 , 10 , 53 , 2 , 8 , 93 , 0 , 0 , 2.60 , 3.24 , 1.19 , 121.7 , 97.5 , 3.04 ,,,
352,23,1993,0,1961,정삼흠,LG,, 4 , 1 , 29 , 15 , 11 , 0 , 0 , 198.2 , 81 ,, 822 , 184 , 11 , 53 , 3 , 11 , 93 , 0 , 4 , 2.99 , 3.17 , 1.19 , 105.6 , 99.7 , 3.02 ,,,
353,24,1993,0,1962,이상군,한화,, 5 , 1 , 16 , 7 , 7 , 3 , 0 , 128.1 , 41 ,, 530 , 115 , 5 , 42 , 1 , 7 , 51 , 0 , 6 , 2.52 , 3.30 , 1.22 , 131.6 , 100.7 , 2.89 ,,,
354,25,1993,0,1966,최창호,93태_#005000,, 7 , 1 , 23 , 7 , 12 , 0 , 0 , 162.1 , 66 ,, 661 , 134 , 11 , 54 , 1 , 1 , 104 , 0 , 6 , 2.99 , 3.06 , 1.16 , 108.8 , 106.4 , 2.85 ,,,
355,26,1993,0,1972,강병규,93O_#000042,, 4 , 1 , 21 , 10 , 9 , 0 , 0 , 139.2 , 52 ,, 570 , 124 , 4 , 36 , 0 , 8 , 70 , 1 , 2 , 3.09 , 2.78 , 1.15 , 101.3 , 112.7 , 2.85 ,,,
356,27,1993,0,1965,이광우,93O_#000042,, 1 , 1 , 8 , 7 , 6 , 2 , 0 , 124.2 , 47 ,, 500 , 126 , 5 , 21 , 2 , 4 , 51 , 0 , 0 , 2.96 , 2.72 , 1.18 , 105.8 , 115.1 , 2.51 ,,,
357,28,1993,0,1974,이대진,93해_#DB0000,, 3 , 0 , 15 , 10 , 5 , 2 , 0 , 124.1 , 48 ,, 537 , 113 , 8 , 59 , 1 , 4 , 97 , 1 , 6 , 3.11 , 3.24 , 1.38 , 106.6 , 102.5 , 2.37 ,,,
358,29,1993,0,1969,권명철,93O_#000042,, 5 , 2 , 21 , 10 , 8 , 0 , 0 , 134.1 , 49 ,, 547 , 103 , 6 , 60 , 0 , 3 , 84 , 0 , 9 , 3.01 , 3.20 , 1.21 , 103.9 , 97.8 , 2.31 ,,,
359,30,1993,0,1966,송유석,93해_#DB0000,, 0 , 0 , 11 , 11 , 6 , 1 , 0 , 124.1 , 46 ,, 517 , 109 , 8 , 46 , 1 , 10 , 67 , 0 , 4 , 2.90 , 3.55 , 1.25 , 114.6 , 93.5 , 2.30 ,,,
360,1,1994,0,1972,정민철,한화,, 9 , 4 , 27 , 14 , 10 , 0 , 0 , 218.0 , 59 ,, 863 , 156 , 6 , 56 , 1 , 7 , 196 , 0 , 7 , 2.15 , 2.22 , 0.97 , 176.6 , 170.5 , 8.67 ,,,
361,2,1994,0,1966,정명원,94태_#005000,, 0 , 0 , 0 , 4 , 2 , 40 , 0 , 105.2 , 16 ,, 401 , 77 , 2 , 22 , 1 , 0 , 74 , 0 , 3 , 1.36 , 2.25 , 0.94 , 281.8 , 170.5 , 7.00 ,,,
362,3,1994,0,1970,김상진,94O_#000042,, 9 , 2 , 23 , 14 , 10 , 7 , 0 , 194.0 , 64 ,, 785 , 170 , 4 , 47 , 3 , 5 , 148 , 0 , 3 , 2.37 , 2.31 , 1.12 , 153.9 , 157.5 , 6.69 ,,,
363,4,1994,0,1970,박충식,삼성,, 13 , 3 , 26 , 14 , 8 , 3 , 0 , 203.1 , 64 ,, 806 , 174 , 16 , 28 , 1 , 10 , 130 , 1 , 1 , 2.35 , 3.10 , 0.99 , 163.9 , 124.0 , 6.18 ,,,
364,5,1994,0,1964,조계현,94해_#DB0000,, 14 , 5 , 27 , 18 , 5 , 0 , 0 , 210.0 , 69 ,, 843 , 171 , 12 , 62 , 2 , 6 , 135 , 0 , 1 , 2.61 , 3.21 , 1.11 , 146.8 , 119.5 , 5.91 ,,,
365,6,1994,0,1971,이상훈,LG,, 6 , 2 , 27 , 18 , 8 , 0 , 0 , 189.2 , 58 ,, 754 , 140 , 9 , 57 , 1 , 7 , 148 , 2 , 2 , 2.47 , 2.86 , 1.04 , 147.7 , 127.3 , 5.68 ,,,
366,7,1994,0,1964,김태원,LG,, 6 , 3 , 28 , 16 , 5 , 0 , 0 , 190.2 , 57 ,, 753 , 142 , 6 , 50 , 3 , 8 , 96 , 0 , 3 , 2.41 , 3.08 , 1.01 , 151.4 , 118.4 , 5.46 ,,,
367,8,1994,0,1971,최상덕,94태_#005000,, 2 , 1 , 18 , 13 , 9 , 1 , 0 , 158.0 , 45 ,, 635 , 123 , 9 , 59 , 2 , 4 , 90 , 1 , 10 , 2.51 , 3.57 , 1.15 , 153.2 , 107.6 , 4.73 ,,,
368,9,1994,0,1976,주형광,롯데,, 4 , 1 , 27 , 11 , 5 , 1 , 0 , 186.2 , 75 ,, 760 , 147 , 15 , 60 , 0 , 6 , 142 , 1 , 2 , 3.04 , 3.40 , 1.11 , 126.9 , 113.6 , 4.27 ,,,
369,10,1994,0,1967,조규제,94쌍_#353535,, 0 , 0 , 0 , 2 , 8 , 24 , 0 , 98.0 , 28 ,, 394 , 69 , 5 , 38 , 5 , 5 , 93 , 0 , 7 , 2.39 , 2.74 , 1.09 , 156.9 , 136.7 , 4.17 ,,,
370,11,1994,0,1963,선동열,94해_#DB0000,, 3 , 0 , 8 , 6 , 4 , 12 , 0 , 102.1 , 31 ,, 404 , 81 , 5 , 21 , 0 , 8 , 94 , 2 , 3 , 2.73 , 2.46 , 1.00 , 140.7 , 156.0 , 4.16 ,,,
371,12,1994,0,1969,구대성,한화,, 2 , 0 , 9 , 7 , 8 , 12 , 0 , 121.0 , 42 ,, 500 , 89 , 8 , 58 , 8 , 4 , 128 , 1 , 3 , 2.60 , 2.89 , 1.22 , 145.6 , 131.0 , 4.08 ,,,
372,13,1994,0,1969,김태한,삼성,, 8 , 1 , 23 , 10 , 9 , 1 , 0 , 176.1 , 67 ,, 725 , 146 , 13 , 68 , 1 , 6 , 121 , 1 , 9 , 2.76 , 3.64 , 1.21 , 139.5 , 105.6 , 3.98 ,,,
373,14,1994,0,1968,박동희,롯데,, 0 , 0 , 0 , 6 , 5 , 31 , 0 , 74.2 , 25 ,, 306 , 67 , 3 , 20 , 2 , 1 , 61 , 0 , 3 , 3.01 , 2.46 , 1.17 , 128.0 , 156.6 , 3.50 ,,,
374,15,1994,0,1965,한용덕,한화,, 4 , 1 , 26 , 16 , 8 , 0 , 0 , 177.1 , 71 ,, 713 , 168 , 22 , 29 , 3 , 4 , 105 , 0 , 3 , 3.25 , 3.75 , 1.11 , 116.7 , 101.2 , 3.45 ,,,
375,16,1994,0,1970,정민태,94태_#005000,, 5 , 0 , 25 , 8 , 9 , 0 , 0 , 145.1 , 66 ,, 619 , 159 , 7 , 38 , 0 , 2 , 91 , 0 , 5 , 3.72 , 3.01 , 1.36 , 103.4 , 127.6 , 3.23 ,,,
376,17,1994,0,1962,김정수,94해_#DB0000,, 3 , 0 , 24 , 9 , 10 , 0 , 0 , 141.0 , 63 ,, 588 , 120 , 9 , 46 , 1 , 12 , 126 , 1 , 6 , 3.38 , 3.07 , 1.18 , 113.4 , 125.1 , 3.15 ,,,
377,18,1994,0,1971,김홍집,94태_#005000,, 5 , 0 , 17 , 12 , 3 , 0 , 0 , 126.2 , 49 ,, 519 , 112 , 8 , 40 , 1 , 4 , 89 , 1 , 3 , 3.20 , 3.25 , 1.20 , 120.1 , 118.4 , 3.13 ,,,
378,19,1994,0,1973,안병원,94태_#005000,, 2 , 1 , 23 , 11 , 10 , 0 , 0 , 145.2 , 55 ,, 619 , 148 , 9 , 47 , 1 , 6 , 66 , 0 , 8 , 3.40 , 3.78 , 1.34 , 113.0 , 101.6 , 3.08 ,,,
379,20,1994,0,1961,정삼흠,LG,, 9 , 2 , 27 , 15 , 8 , 0 , 0 , 186.1 , 72 ,, 758 , 173 , 18 , 41 , 2 , 13 , 76 , 0 , 2 , 2.95 , 4.09 , 1.15 , 123.7 , 89.1 , 2.96 ,,,
380,21,1994,0,1974,최한경,삼성,, 0 , 0 , 5 , 6 , 7 , 9 , 0 , 101.2 , 45 ,, 428 , 84 , 6 , 42 , 3 , 3 , 102 , 0 , 3 , 3.28 , 2.81 , 1.24 , 117.4 , 136.8 , 2.90 ,,,
381,22,1994,0,1966,송유석,94해_#DB0000,, 0 , 0 , 3 , 10 , 8 , 7 , 0 , 116.1 , 50 ,, 502 , 121 , 4 , 44 , 4 , 10 , 57 , 0 , 3 , 3.40 , 3.57 , 1.42 , 112.7 , 107.6 , 2.86 ,,,
382,23,1994,0,1960,김용수,LG,, 0 , 0 , 0 , 5 , 5 , 30 , 0 , 63.1 , 24 ,, 247 , 46 , 1 , 10 , 1 , 1 , 44 , 0 , 0 , 2.56 , 2.10 , 0.88 , 142.5 , 173.5 , 2.82 ,,,
383,24,1994,0,1956,박철순,94O_#000042,, 5 , 2 , 15 , 7 , 7 , 0 , 0 , 93.0 , 31 ,, 369 , 73 , 3 , 29 , 0 , 3 , 66 , 0 , 1 , 2.61 , 2.84 , 1.10 , 139.3 , 128.0 , 2.63 ,,,
384,25,1994,0,1967,이태일,삼성,, 2 , 1 , 20 , 6 , 10 , 0 , 0 , 128.0 , 56 ,, 535 , 120 , 6 , 36 , 1 , 6 , 60 , 0 , 0 , 3.38 , 3.44 , 1.22 , 113.9 , 111.6 , 2.59 ,,,
385,26,1994,0,1966,최창호,94태_#005000,, 3 , 1 , 26 , 12 , 11 , 1 , 0 , 147.1 , 74 ,, 631 , 141 , 6 , 59 , 2 , 5 , 84 , 0 , 3 , 4.09 , 3.46 , 1.36 , 93.8 , 110.9 , 2.45 ,,,
386,27,1994,0,1971,홍우태,94O_#000042,, 5 , 1 , 18 , 7 , 11 , 2 , 0 , 148.1 , 68 ,, 625 , 136 , 11 , 65 , 3 , 6 , 85 , 1 , 0 , 3.52 , 4.00 , 1.36 , 103.5 , 90.9 , 2.40 ,,,
387,28,1994,0,1966,이강철,94해_#DB0000,, 5 , 1 , 23 , 12 , 15 , 1 , 0 , 185.2 , 86 ,, 811 , 150 , 19 , 105 , 8 , 17 , 140 , 2 , 0 , 3.64 , 4.48 , 1.37 , 105.5 , 85.7 , 2.33 ,,,
388,29,1994,0,1971,이상목,한화,, 1 , 0 , 10 , 5 , 8 , 5 , 0 , 128.0 , 60 ,, 540 , 127 , 14 , 31 , 2 , 3 , 77 , 0 , 2 , 4.01 , 3.78 , 1.23 , 94.6 , 100.3 , 2.30 ,,,
389,30,1994,0,1965,이광우,94O_#000042,, 1 , 1 , 9 , 8 , 4 , 1 , 0 , 82.2 , 25 ,, 332 , 77 , 5 , 19 , 3 , 1 , 32 , 0 , 3 , 2.29 , 3.44 , 1.16 , 159.2 , 105.8 , 2.28 ,,,
390,1,1995,0,1963,선동열,95해_#DB0000,, 0 , 0 , 0 , 5 , 3 , 33 , 0 , 109.1 , 9 ,, 381 , 49 , 1 , 14 , 3 , 3 , 140 , 0 , 6 , 0.49 , 0.75 , 0.58 , 763.4 , 501.4 , 9.09 ,,,
391,2,1995,0,1970,김상진,95O_#000042,, 13 , 8 , 27 , 17 , 7 , 0 , 0 , 209.0 , 58 ,, 827 , 174 , 6 , 44 , 3 , 8 , 159 , 0 , 0 , 2.11 , 2.37 , 1.04 , 168.7 , 150.5 , 7.55 ,,,
392,3,1995,0,1971,이상훈,LG,, 12 , 3 , 29 , 20 , 5 , 0 , 0 , 228.1 , 61 ,, 867 , 150 , 12 , 48 , 1 , 3 , 142 , 2 , 4 , 2.01 , 2.91 , 0.87 , 177.1 , 122.5 , 7.34 ,,,
393,4,1995,0,1970,김상엽,삼성,, 9 , 2 , 26 , 17 , 7 , 0 , 0 , 191.2 , 53 ,, 772 , 140 , 12 , 63 , 1 , 12 , 132 , 1 , 2 , 2.30 , 3.41 , 1.06 , 164.4 , 111.1 , 5.76 ,,,
394,5,1995,0,1974,이대진,95해_#DB0000,, 7 , 2 , 21 , 14 , 6 , 0 , 0 , 168.1 , 56 ,, 673 , 131 , 14 , 43 , 3 , 8 , 163 , 0 , 10 , 2.57 , 2.81 , 1.03 , 146.9 , 134.2 , 5.30 ,,,
395,6,1995,0,1976,주형광,롯데,, 5 , 0 , 29 , 10 , 7 , 0 , 0 , 200.1 , 73 ,, 798 , 170 , 18 , 49 , 1 , 7 , 152 , 0 , 4 , 3.05 , 3.28 , 1.09 , 124.2 , 115.5 , 5.17 ,,,
396,7,1995,0,1969,권명철,95O_#000042,, 4 , 0 , 28 , 15 , 8 , 0 , 0 , 193.1 , 65 ,, 776 , 147 , 8 , 61 , 0 , 8 , 112 , 1 , 6 , 2.47 , 3.26 , 1.08 , 144.3 , 109.2 , 4.80 ,,,
397,8,1995,0,1966,정명원,95태_#005000,, 0 , 0 , 0 , 9 , 7 , 19 , 0 , 103.0 , 25 ,, 396 , 68 , 1 , 23 , 10 , 3 , 59 , 0 , 8 , 1.75 , 2.26 , 0.88 , 212.4 , 164.5 , 4.72 ,,,
398,9,1995,0,1964,조계현,95해_#DB0000,, 4 , 0 , 19 , 9 , 6 , 0 , 0 , 126.0 , 28 ,, 490 , 97 , 2 , 37 , 3 , 6 , 59 , 1 , 3 , 1.71 , 3.03 , 1.06 , 219.9 , 124.3 , 4.56 ,,,
399,10,1995,0,1965,한용덕,한화,, 9 , 3 , 25 , 8 , 13 , 0 , 0 , 180.1 , 72 ,, 745 , 162 , 13 , 41 , 2 , 10 , 121 , 0 , 5 , 3.29 , 3.22 , 1.13 , 112.3 , 114.9 , 4.17 ,,,
400,11,1995,0,1972,정민철,한화,, 8 , 2 , 22 , 13 , 7 , 0 , 0 , 162.2 , 65 ,, 678 , 152 , 12 , 40 , 3 , 10 , 127 , 1 , 5 , 3.21 , 3.07 , 1.18 , 115.3 , 120.4 , 3.94 ,,,
401,12,1995,0,1960,김용수,LG,, 0 , 0 , 0 , 4 , 2 , 30 , 0 , 69.0 , 12 ,, 270 , 59 , 1 , 10 , 3 , 1 , 44 , 0 , 2 , 1.43 , 2.07 , 1.00 , 248.1 , 171.9 , 3.82 ,,,
402,13,1995,0,1968,김기덕,95쌍_#353535,, 1 , 0 , 1 , 9 , 7 , 12 , 0 , 116.1 , 38 ,, 475 , 98 , 9 , 31 , 7 , 9 , 90 , 0 , 1 , 2.71 , 3.12 , 1.11 , 137.9 , 119.7 , 3.73 ,,,
403,14,1995,0,1972,위재영,95태_#005000,, 4 , 1 , 16 , 13 , 10 , 4 , 0 , 157.2 , 70 ,, 651 , 142 , 9 , 48 , 5 , 3 , 113 , 2 , 6 , 3.60 , 2.99 , 1.21 , 103.2 , 124.0 , 3.67 ,,,
404,15,1995,0,1970,정민태,95태_#005000,, 8 , 3 , 28 , 8 , 14 , 0 , 0 , 188.0 , 92 ,, 796 , 187 , 8 , 58 , 3 , 4 , 115 , 0 , 7 , 3.69 , 3.08 , 1.30 , 100.7 , 120.4 , 3.60 ,,,
405,16,1995,0,1966,송진우,한화,, 7 , 1 , 26 , 13 , 8 , 0 , 0 , 183.0 , 78 ,, 781 , 165 , 11 , 75 , 0 , 4 , 121 , 0 , 5 , 3.20 , 3.56 , 1.31 , 115.7 , 103.8 , 3.50 ,,,
406,17,1995,0,1968,오봉옥,삼성,, 3 , 1 , 10 , 6 , 9 , 5 , 0 , 133.1 , 56 ,, 563 , 117 , 4 , 50 , 1 , 4 , 99 , 0 , 6 , 2.90 , 2.91 , 1.25 , 130.3 , 130.1 , 3.45 ,,,
