,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
21,22,1982,0,1959,김재현,82삼_#000063,, 2 , 0 , 20 , 6 , 19 , 1 , 0 , 192.1 , 154 ,, 889 , 268 , 18 , 62 , 4 , 7 , 62 , 1 , 6 , 6.13 , 4.00 , 1.72 , 65.6 , 100.5 , 1.17 ,,,
22,23,1982,0,1952,황태환,82O_#000042,, 2 , 0 , 6 , 6 , 5 , 3 , 0 , 86.1 , 43 ,, 365 , 76 , 12 , 37 , 2 , 11 , 42 , 0 , 4 , 3.86 , 4.85 , 1.31 , 100.9 , 80.2 , 1.08 ,,,
23,24,1982,0,1955,김문희,롯데,, 4 , 1 , 17 , 4 , 8 , 0 , 0 , 91.2 , 55 ,, 411 , 113 , 10 , 31 , 5 , 4 , 18 , 1 , 0 , 4.12 , 4.43 , 1.57 , 96.3 , 89.8 , 1.01 ,,,
24,25,1982,0,1954,정순명,82M_#1245AB,, 1 , 0 , 14 , 7 , 5 , 1 , 0 , 92.2 , 62 ,, 416 , 105 , 9 , 38 , 1 , 8 , 47 , 1 , 5 , 4.47 , 4.12 , 1.54 , 88.7 , 96.2 , 0.91 ,,,
25,26,1982,0,1956,김현홍,82O_#000042,, 0 , 0 , 2 , 0 , 0 , 0 , 0 , 29.2 , 10 ,, 135 , 30 , 0 , 21 , 0 , 0 , 10 , 0 , 0 , 3.03 , 3.87 , 1.72 , 128.3 , 100.6 , 0.74 ,,,
26,27,1982,0,1956,차준섭,82M_#1245AB,, 0 , 0 , 5 , 3 , 1 , 0 , 0 , 35.1 , 23 ,, 155 , 44 , 2 , 8 , 1 , 3 , 24 , 0 , 0 , 4.84 , 2.65 , 1.47 , 81.9 , 149.9 , 0.72 ,,,
27,28,1982,0,1956,이진우,롯데,, 1 , 0 , 10 , 5 , 2 , 1 , 0 , 82.0 , 56 ,, 373 , 90 , 10 , 51 , 2 , 5 , 49 , 2 , 3 , 5.27 , 4.79 , 1.72 , 75.4 , 83.0 , 0.47 ,,,
28,29,1982,0,1953,최옥규,롯데,, 0 , 0 , 3 , 2 , 1 , 0 , 0 , 47.2 , 36 ,, 222 , 63 , 5 , 26 , 1 , 2 , 31 , 1 , 2 , 4.91 , 4.18 , 1.87 , 80.9 , 95.0 , 0.38 ,,,
29,30,1982,0,1953,계형철,82O_#000042,, 3 , 1 , 19 , 4 , 4 , 0 , 0 , 90.1 , 59 ,, 416 , 73 , 6 , 76 , 0 , 2 , 42 , 2 , 3 , 4.88 , 4.94 , 1.65 , 79.7 , 78.7 , 0.35 ,,,
30,1,1983,0,1950,장명부,83삼_#000063,, 36 , 5 , 44 , 30 , 16 , 6 , 0 , 427.1 , 138 ,, 1712 , 388 , 19 , 106 , 6 , 16 , 220 , 1 , 6 , 2.34 , 2.42 , 1.16 , 143.4 , 138.5 , 13.63 ,,,
31,2,1983,0,1960,이상윤,83해_#DB0000,, 14 , 3 , 22 , 20 , 10 , 6 , 0 , 229.1 , 83 ,, 944 , 181 , 10 , 95 , 0 , 4 , 178 , 0 , 3 , 2.67 , 2.37 , 1.20 , 121.9 , 137.4 , 6.79 ,,,
32,3,1983,0,1958,김시진,삼성,, 17 , 5 , 25 , 17 , 12 , 1 , 0 , 229.1 , 78 ,, 950 , 189 , 8 , 95 , 6 , 14 , 154 , 0 , 5 , 2.55 , 2.52 , 1.24 , 131.2 , 133.0 , 6.78 ,,,
33,4,1983,0,1959,이길환,83M_#1245AB,, 10 , 4 , 20 , 15 , 7 , 4 , 0 , 208.1 , 68 ,, 845 , 184 , 8 , 56 , 3 , 11 , 84 , 2 , 1 , 2.51 , 2.67 , 1.15 , 123.4 , 115.7 , 5.49 ,,,
34,5,1983,0,1956,임호균,83삼_#000063,, 15 , 1 , 29 , 12 , 15 , 2 , 0 , 234.2 , 94 ,, 954 , 231 , 16 , 52 , 1 , 6 , 86 , 1 , 1 , 3.03 , 2.94 , 1.21 , 110.6 , 114.0 , 5.23 ,,,
35,6,1983,0,1955,하기룡,83M_#1245AB,, 6 , 2 , 16 , 10 , 11 , 4 , 0 , 173.2 , 57 ,, 696 , 137 , 4 , 48 , 7 , 8 , 73 , 2 , 4 , 2.33 , 2.36 , 1.07 , 132.6 , 130.9 , 5.15 ,,,
36,7,1983,0,1958,최동원,롯데,, 16 , 1 , 21 , 9 , 16 , 4 , 0 , 208.2 , 89 ,, 863 , 202 , 17 , 51 , 2 , 8 , 148 , 0 , 3 , 2.89 , 2.52 , 1.21 , 114.2 , 131.1 , 5.00 ,,,
37,8,1983,0,1958,김용남,83해_#DB0000,, 6 , 3 , 22 , 13 , 10 , 1 , 0 , 181.1 , 67 ,, 731 , 171 , 12 , 30 , 3 , 5 , 80 , 0 , 1 , 2.83 , 2.57 , 1.11 , 115.0 , 126.9 , 4.82 ,,,
38,9,1983,0,1955,박상열,83O_#000042,, 7 , 1 , 20 , 10 , 9 , 0 , 0 , 173.1 , 57 ,, 716 , 162 , 11 , 44 , 1 , 14 , 68 , 2 , 0 , 2.49 , 3.08 , 1.19 , 131.3 , 106.1 , 4.19 ,,,
39,10,1983,0,1960,오영일,83M_#1245AB,, 7 , 0 , 13 , 10 , 9 , 4 , 0 , 173.0 , 62 ,, 704 , 147 , 8 , 59 , 0 , 8 , 69 , 1 , 6 , 2.91 , 3.02 , 1.19 , 106.1 , 102.3 , 3.81 ,,,
40,11,1983,0,1956,유종겸,83M_#1245AB,, 4 , 0 , 14 , 8 , 7 , 5 , 0 , 139.0 , 45 ,, 560 , 103 , 8 , 50 , 0 , 5 , 74 , 0 , 4 , 2.40 , 2.93 , 1.10 , 129.1 , 105.6 , 3.42 ,,,
41,12,1983,0,1956,배경환,롯데,, 4 , 2 , 20 , 7 , 4 , 0 , 0 , 150.0 , 72 ,, 637 , 159 , 9 , 32 , 0 , 5 , 62 , 2 , 2 , 3.18 , 2.75 , 1.27 , 103.8 , 120.0 , 2.81 ,,,
42,13,1983,0,1954,권영호,삼성,, 5 , 0 , 15 , 6 , 10 , 7 , 0 , 135.0 , 58 ,, 556 , 113 , 7 , 48 , 2 , 6 , 49 , 1 , 2 , 3.20 , 3.16 , 1.19 , 104.6 , 105.8 , 2.69 ,,,
43,14,1983,0,1961,양일환,삼성,, 4 , 0 , 21 , 9 , 7 , 1 , 0 , 176.1 , 82 ,, 738 , 155 , 12 , 63 , 2 , 11 , 63 , 1 , 1 , 3.22 , 3.45 , 1.24 , 104.0 , 96.9 , 2.64 ,,,
44,15,1983,0,1953,계형철,83O_#000042,, 9 , 3 , 27 , 9 , 12 , 0 , 0 , 193.1 , 97 ,, 816 , 190 , 11 , 72 , 2 , 13 , 86 , 3 , 9 , 3.44 , 3.20 , 1.36 , 95.0 , 102.4 , 2.53 ,,,
45,16,1983,0,1955,김문희,롯데,, 5 , 0 , 20 , 8 , 10 , 0 , 0 , 155.1 , 70 ,, 649 , 154 , 12 , 53 , 2 , 3 , 46 , 2 , 2 , 3.48 , 3.51 , 1.33 , 94.9 , 93.9 , 2.28 ,,,
46,17,1983,0,1957,강만식,83해_#DB0000,, 1 , 1 , 14 , 6 , 4 , 0 , 0 , 94.0 , 42 ,, 387 , 83 , 5 , 22 , 2 , 5 , 51 , 1 , 0 , 2.78 , 2.46 , 1.12 , 117.2 , 132.2 , 2.09 ,,,
47,18,1983,0,1952,황태환,83O_#000042,, 0 , 0 , 2 , 6 , 6 , 14 , 0 , 105.1 , 46 ,, 449 , 105 , 11 , 40 , 2 , 5 , 60 , 0 , 0 , 2.65 , 3.50 , 1.38 , 123.6 , 93.5 , 2.02 ,,,
